day,average_speed,average_size,average_intelligence
413,24.827128742705195,1.0990561164166475,4.00181925721693
414,25.249277752671603,1.108115975229134,4.004703444049975
415,25.025751052708173,1.1026693324135541,4.0369867684132625
416,25.09326543164373,1.081346277200573,4.047596130403807
417,24.553703184506272,1.0772985757911362,3.963897204704166
418,24.629017094379723,1.076402556678231,3.994930316278733
419,25.311554282383973,1.0856213945907014,4.0283972378621735
420,26.103331091118626,1.0915039467157286,4.128198775657376
421,26.053066129148434,1.1129336000033399,4.186746860217974
422,26.382269658727562,1.1323174422056395,4.231543675761329
423,25.8155703526936,1.1148072309878287,4.230095981980476
424,25.776721946426626,1.0974711419037968,4.215895436313536
425,25.935628563847228,1.0723359657759248,4.207959598128452
426,25.90518437552123,1.06801822855883,4.166605500819543
427,25.80385622691901,1.0742896604756094,4.14346624717505
428,25.689783428397803,1.081476512240917,4.063646384527487
429,25.97668182557802,1.0809070292903993,4.065071407057727
430,26.73872432405848,1.0788670537880534,4.029045612763231
431,27.448598074559996,1.091991131761011,4.021263746146163
432,26.648804777709636,1.0700994029165876,3.9457564755490084
433,26.501200044284897,1.0725000833195357,3.863323955785497
434,26.583862157525267,1.0651670596497065,3.8732053433949245
435,26.34621822004245,1.0591119730653629,3.835658921438822
436,25.76596956674295,1.0527796979138588,3.847398693675917
437,25.421732161045178,1.054608600571039,3.9235765924206634
438,25.384182776211887,1.0650587143771755,3.9205521487503834
439,25.69284769634973,1.07288643849273,4.014800567687222
440,25.32885559287759,1.0763051831160468,4.030690984391382
441,26.148608070735072,1.1088800017525628,4.14048126199099
442,26.953050406232062,1.1194918551710245,4.167121995583257
443,26.258172629960224,1.131283128459136,4.21326160080743
444,26.27603444310996,1.1274619294638828,4.268921246158513
445,26.0628465716073,1.082865691849812,4.225904275953679
446,26.21755636905337,1.1066498143958898,4.234442078542462
447,27.732726598845325,1.1339996163200763,4.188530063200919
448,26.904507643787362,1.1049893412457772,4.165967948792788
449,26.70584329722637,1.0918584364246373,4.118424913025553
450,27.123864667662083,1.0948745601768117,4.164078439537127
451,27.07866695594754,1.0828761818887729,4.123941736135499
452,26.010126870301463,1.0836393115313059,4.124568098043338
453,25.471340404661323,1.0496927664661282,4.117763445022015
454,25.85258816540667,1.0624988784015068,4.071539066706931
455,25.914696322623957,1.0601751735378944,3.980441866004222
456,25.581769371731085,1.0723503638393164,4.0166257764915345
457,26.60524050928644,1.0706693122047448,4.0072429597188854
458,26.558415607624323,1.0849218986789606,4.024552923824078
459,27.317121598582858,1.1045473925538376,4.04505715397893
460,26.05729382584649,1.0844200068836007,3.98035651533361
461,26.569447832614,1.1083286670708863,3.9917788457870147
462,26.52249693869821,1.097187153474839,4.051407643375264
463,25.854727268658415,1.0925686914480361,4.053069387691254
464,24.64992101267383,1.050711644631314,4.067137034201944
465,24.370307877297336,0.9977234936101899,4.0487521757531955
466,24.146688879787934,0.991415212646837,4.029766509386494
467,24.4621904597474,1.030028958773139,3.9783817536862918
468,23.85667583308752,1.0184607122059683,3.8985446498882608
469,23.9792954538716,0.9985215924060687,3.823940764195114
470,24.103730718415232,1.0132820630310855,3.7681268613252223
471,24.56943487802285,0.9984024566507524,3.70920806830439
472,24.3783338266198,0.9737338390162109,3.6873162122397454
473,25.307934914633414,0.9923369348261134,3.6039877736890276
474,25.19134595221786,1.0211046320099548,3.6397851146426756
475,25.105408187559664,1.0158393477098762,3.614301485120508
476,24.928378767715092,0.9882091144619088,3.642015689710191
477,25.345318655599762,1.0050958853409493,3.6867013927522048
478,25.466157046664172,1.0156148031793544,3.7263970718173143
479,24.326073844030365,1.0006736110454517,3.781437848785254
480,24.38044204929196,1.0097888626498248,3.787546586453233
481,24.586286583315783,1.0152993133610833,3.853354730610651
482,25.09741460564222,1.0226016222142802,3.9850252492808487
483,25.010421414619998,1.0428720554882338,3.988714468773158
484,25.0164906157247,1.0325268022949443,4.050006874265301
485,24.40517337206997,1.00527600957439,4.1038578283000895
